   FROM                   TO     CKT  DISTANCE    TYPE X------I ZERO------X  X----I POSITIVE----X  X----I NEGATIVE----X
                                                       X------PHASE A-----X  X------PHASE B-----X  X------PHASE C-----X
 ['LARK'      161.00]                                     21.9478  -72.3900     21.9478  167.6101     21.9478   47.6100

      5                                          3-PHAS   -0.0000   -0.0000     10.6892  -29.8379     -0.0000    0.0000
 ['JAY'       161.00]                                     31.6948  -70.2904     31.6948  169.7097     31.6948   49.7097

      6                                          3-PHAS   -0.0000    0.0000      7.8916  -20.5536      0.0000    0.0000
 ['RAVEN'     161.00]                                     22.0166  -68.9955     22.0166  171.0045     22.0166   51.0045

      7                                          3-PHAS    0.0000    0.0000      8.3217  -22.3914      0.0000   -0.0000
 ['WREN'      161.00]                                     23.8878  -69.6125     23.8878  170.3876     23.8878   50.3876

      8                                          3-PHAS    0.0000    0.0000      8.5287  -23.0310     -0.0000    0.0000
 ['ROBIN'     161.00]                                     24.5594  -69.6796     24.5594  170.3204     24.5594   50.3204

      9                                          3-PHAS    0.0000   -0.0000      4.0840  -18.9410     -0.0000    0.0000
 ['SISKIN1'   161.00]                                     19.3763  -77.8323     19.3763  162.1677     19.3763   42.1677

     10                                          3-PHAS    0.0000   -0.0000      0.9070   -3.3321     -0.0000    0.0000
 ['JUNCO'     69.000]                                      3.4534  -74.7725      3.4534  165.2275      3.4534   45.2275

     11                                          3-PHAS    0.0000    0.0000      7.8681  -26.4569      0.0000    0.0000
 ['QUAIL'     161.00]                                     27.6020  -73.4380     27.6020  166.5621     27.6020   46.5621

     12                                          3-PHAS   -0.0000    0.0000     10.1762  -26.9728     -0.0000    0.0000
 ['HERON'     161.00]                                     28.8286  -69.3296     28.8286  170.6704     28.8286   50.6704

     13                                          3-PHAS   -0.0000    0.0000      1.0083   -3.0993      0.0000   -0.0000
 ['EGRET'     69.000]                                      3.2592  -71.9792      3.2592  168.0208      3.2592   48.0208

     14                                          3-PHAS    0.0000    0.0000      5.1939  -19.9137      0.0000   -0.0000
 ['GULL'      161.00]                                     20.5799  -75.3819     20.5799  164.6182     20.5799   44.6182

     15                                          3-PHAS    0.0000    0.0000      7.0230  -18.7853      0.0000   -0.0000
 ['CROW1'     161.00]                                     20.0552  -69.5014     20.0552  170.4986     20.0552   50.4986

     16                                          3-PHAS   -0.0000    0.0000      1.3227   -5.9727      0.0000   -0.0000
 ['CROW2'     69.000]                                      6.1175  -77.5126      6.1175  162.4874      6.1175   42.4874

     17                                          3-PHAS   -0.0000    0.0000      0.6758   -6.0348      0.0000   -0.0000
 ['SISKIN2'   69.000]                                      6.0726  -83.6107      6.0726  156.3893      6.0726   36.3893

      2                                          L-L-G    -6.8331   26.2607     11.2418  -39.9920     -4.4087   13.7312
 ['SHIFT'     161.00]                                      0.0000    0.0000     62.3779  155.5307     64.1802   55.5825

      2                                          L-L-G    26.1590   -7.2127     11.2418  -39.9920     -9.6872  -10.6836
 ['SHIFT'     161.00]                                     64.1802  -64.4176      0.0000    0.0000     62.3779   35.5306

     10                                            L-G     0.0947   -0.3721      0.0947   -0.3721      0.0947   -0.3721
 ['JUNCO'     69.000]                                      1.1519  -75.7278      0.0000    0.0000      0.0000    0.0000

     15                                            L-G     1.5135   -4.2472      1.5135   -4.2472      1.5135   -4.2472
 ['CROW1'     161.00]                                     13.5264  -70.3863      0.0000    0.0000      0.0000    0.0000

      9                                            L-G     0.9939   -5.7672      0.9939   -5.7672      0.9939   -5.7672
 ['SISKIN1'   161.00]                                     17.5567  -80.2215      0.0000    0.0000      0.0000    0.0000

      4                                          3-PHAS    0.0000   -0.0000      6.6400  -20.9193     -0.0000    0.0000
 ['LARK'      161.00]                                     21.9478  -72.3900     21.9478  167.6101     21.9478   47.6100

      4                                          3-PHAS    0.0000    0.0000      6.6400  -20.9193     -0.0000    0.0000
 ['LARK'      161.00]                                     21.9478  -72.3900     21.9478  167.6101     21.9478   47.6100

     10                                          3-PHAS    0.0000   -0.0000      0.9070   -3.3321      0.0000    0.0000
 ['JUNCO'     69.000]                                      3.4534  -74.7725      3.4534  165.2275      3.4534   45.2275

      4                                            L-G     1.3198   -4.6212      1.3198   -4.6212      1.3198   -4.6212
 ['LARK'      161.00]                                     14.4180  -74.0605      0.0000    0.0000      0.0000    0.0000

      5                                            L-G     2.2077   -6.9781      2.2077   -6.9781      2.2077   -6.9781
 ['JAY'       161.00]                                     21.9571  -72.4438      0.0000    0.0000      0.0000    0.0000

      6                                            L-G     1.6503   -4.6691      1.6503   -4.6691      1.6503   -4.6691
 ['RAVEN'     161.00]                                     14.8564  -70.5342      0.0000    0.0000      0.0000    0.0000

      7                                            L-G     1.6825   -5.0557      1.6825   -5.0557      1.6825   -5.0557
 ['WREN'      161.00]                                     15.9848  -71.5929      0.0000    0.0000      0.0000    0.0000

      8                                            L-G     1.8190   -5.2213      1.8190   -5.2213      1.8190   -5.2213
 ['ROBIN'     161.00]                                     16.5873  -70.7928      0.0000    0.0000      0.0000    0.0000

      9                                            L-G     0.8484   -4.1473      0.8484   -4.1473      0.8484   -4.1473
 ['SISKIN1'   161.00]                                     12.6997  -78.4388      0.0000    0.0000      0.0000    0.0000

     10                                            L-G     0.1964   -0.7810      0.1964   -0.7810      0.1964   -0.7810
 ['JUNCO'     69.000]                                      2.4159  -75.8841      0.0000    0.0000      0.0000    0.0000

     11                                            L-G     1.7297   -6.0826      1.7297   -6.0826      1.7297   -6.0826
 ['QUAIL'     161.00]                                     18.9714  -74.1258      0.0000    0.0000      0.0000    0.0000

     12                                            L-G     2.3326   -6.3222      2.3326   -6.3222      2.3326   -6.3222
 ['HERON'     161.00]                                     20.2163  -69.7483      0.0000    0.0000      0.0000    0.0000

     13                                            L-G     0.2015   -0.7088      0.2015   -0.7088      0.2015   -0.7088
 ['EGRET'     69.000]                                      2.2107  -74.1309      0.0000    0.0000      0.0000    0.0000

     14                                            L-G     1.1936   -4.5144      1.1936   -4.5144      1.1936   -4.5144
 ['GULL'      161.00]                                     14.0087  -75.1901      0.0000    0.0000      0.0000    0.0000

     15                                            L-G     1.5040   -4.2193      1.5040   -4.2193      1.5040   -4.2193
 ['CROW1'     161.00]                                     13.4380  -70.3813      0.0000    0.0000      0.0000    0.0000

     16                                            L-G     0.4090   -2.1332      0.4090   -2.1332      0.4090   -2.1332
 ['CROW2'     69.000]                                      6.5162  -79.1468      0.0000    0.0000      0.0000    0.0000

